NAME","STATE","STATE_ID"
"Kagarko","KADUNA",2894
"Kajuru","KADUNA",2894
"Kauru","KADUNA",2894
"Koka/Kawo","KADUNA",2894
"Kudan","KADUNA",2894
"Lere","KADUNA",2894
"Makarfi","KADUNA",2894
"Sabon-Gari","KADUNA",2894
"Sanga","KADUNA",2894
"Soba","KADUNA",2894
"Tundun-Wada/Makera","KADUNA",2894
"Zango-Kataf","KADUNA",2894
"Zaria","KADUNA",2894
"Ajingi","KANO",2873
"Albasu","KANO",2873
"Bagwai","KANO",2873
"Bebeji","KANO",2873
"Bichi","KANO",2873
"Bunkure","KANO",2873
"Dala","KANO",2873
"Dambatta","KANO",2873
"Dawakin Kudu","KANO",2873
"Dawakin Tofa","KANO",2873
"Doguwa","KANO",2873
"Fagge","KANO",2873
"Gabasawa","KANO",2873
"Garko","KANO",2873
"Garun Mallam","KANO",2873
"Gaya","KANO",2873
"Gezawa","KANO",2873
"Gwale","KANO",2873
"Gwarzo","KANO",2873
"Kabo","KANO",2873
"Kano Municipal","KANO",2873
"Karaye","KANO",2873
"Kibiya","KANO",2873
"Kiru","KANO",2873
"Kumbotso","KANO",2873
"Kunchi","KANO",2873
"Kura","KANO",2873
"Madobi","KANO",2873
"Makoda","KANO",2873
"Minjibir","KANO",2873
"Nasarawa","KANO",2873
"Rano","KANO",2873
"Rimin Gado","KANO",2873
"Rogo","KANO",2873
"Shanono","KANO",2873
"Sumaila","KANO",2873
"Takai","KANO",2873
"Tarauni","KANO",2873
"Tofa","KANO",2873
"Tsanyawa","KANO",2873
"Tudun Wada","KANO",2873
"Ungogo","KANO",2873
"Warawa","KANO",2873
"Wudil","KANO",2873
"Bakori","KATSINA",2901
"Batagarawa","KATSINA",2901
"Batsari","KATSINA",2901
"Baure","KATSINA",2901
"Bindawa","KATSINA",2901
"Charanchi","KATSINA",2901
"Danja","KATSINA",2901
"Dandume","KATSINA",2901
"Dan Musa","KATSINA",2901
"Daura","KATSINA",2901
"Dutsi","KATSINA",2901
"Dutsin-Ma","KATSINA",2901
"Faskari","KATSINA",2901
"Funtua","KATSINA",2901
"Ingawa","KATSINA",2901
"Jibia","KATSINA",2901
"Kafur","KATSINA",2901
"Kaita","KATSINA",2901
"Kankara","KATSINA",2901
"Kankia","KATSINA",2901
"Katsina","KATSINA",2901
"Kurfi","KATSINA",2901
"Kusada","KATSINA",2901
"Mai'Adua","KATSINA",2901
"Malumfashi","KATSINA",2901
"Mani","KATSINA",2901
"Mashi","KATSINA",2901
"Matazu","KATSINA",2901
"Musawa","KATSINA",2901
"Rimi","KATSINA",2901
"Sabuwa","KATSINA",2901
"Safana","KATSINA",2901
"Sandamu","KATSINA",2901
"Zango","KATSINA",2901
"Aleiro","KEBBI",2893
"Arewa Dandi","KEBBI",2893
"Argungu","KEBBI",2893
"Augie","KEBBI",2893
"Bagudo","KEBBI",2893
"Birnin Kebbi","KEBBI",2893
"Bunza","KEBBI",2893
"Dandi","KEBBI",2893
"Wasagu/Danko","KEBBI",2893
"Fakai","KEBBI",2893
"Gwandu","KEBBI",2893
"Jega","KEBBI",2893
"Kalgo","KEBBI",2893
"Koko/Besse","KEBBI",2893
"Maiyama","KEBBI",2893
"Ngaski","KEBBI",2893
"Sakaba","KEBBI",2893
"Shanga","KEBBI",2893
"Suru","KEBBI",2893
"Wasagu","KEBBI",2893
"Yauri","KEBBI",2893
"Zuru","KEBBI",2893
"Adavi","KOGI",2892
"Ajaokuta","KOGI",2892
"Ankpa","KOGI",2892
"Bassa","KOGI",2892
"Dekina","KOGI",2892
"Ibaji","KOGI",2892
"Idah","KOGI",2892
"Igbalamela-Odolu","KOGI",2892
"Ijumu","KOGI",2892
"Kabba/Bunu","KOGI",2892
"Kogi","KOGI",2892
"Lokoja","KOGI",2892
"Mopa-Muro","KOGI",2892
"Ofu","KOGI",2892
"Ogori/Magongo","KOGI",2892
"Okehi","KOGI",2892
"Okene","KOGI",2892
"Olamaboro","KOGI",2892
"Omala","KOGI",2892
"Oyi","KOGI",2892
"Yagba East","KOGI",2892
"Yagba West","KOGI",2892
"Asa","KWARA",2872
"Baruten","KWARA",2872
"Edu","KWARA",2872
"Ekiti","KWARA",2872
"Ifelodun","KWARA",2872
"Ilorin East","KWARA",2872
"Ilorin South","KWARA",2872
"Ilorin West","KWARA",2872
"Irepodun","KWARA",2872
"Isin","KWARA",2872
"Kaiama","KWARA",2872
"Moro","KWARA",2872
"Offa","KWARA",2872
"Oke-Ero","KWARA",2872
"Oyun","KWARA",2872
"Pategi","KWARA",2872
"Agege","LAGOS",2871
"Ajeromi-Ifelodun","LAGOS",2871
"Alimosho","LAGOS",2871
"Amuwo-Odofin","LAGOS",2871
"Apapa","LAGOS",2871
"Badagry","LAGOS",2871
"Epe","LAGOS",2871
"Eti-Osa","LAGOS",2871
"Ibeju-Lekki","LAGOS",2871
"Ifako-Ijaye","LAGOS",2871
"Ikeja","LAGOS",2871
"Ikorodu","LAGOS",2871
"Kosofe","LAGOS",2871
"Lagos Island","LAGOS",2871
"Lagos Mainland","LAGOS",2871
"Mushin","LAGOS",2871
"Ojo","LAGOS",2871
"Oshodi-Isolo","LAGOS",2871
"Shomolu","LAGOS",2871
"Surulere","LAGOS",2871
"Akwanga","NASARAWA",2870
"Awe","NASARAWA",2870
"Doma","NASARAWA",2870
"Karu","NASARAWA",2870
"Keana","NASARAWA",2870
"Keffi","NASARAWA",2870
"Kokona","NASARAWA",2870
"Lafia","NASARAWA",2870
"Nasarawa","NASARAWA",2870
"Nasarawa Eggon","NASARAWA",2870
"Obi","NASARAWA",2870
"Toto","NASARAWA",2870
"Wamba","NASARAWA",2870
"Agaie","NIGER",2891
"Agwara","NIGER",2891
"Bida","NIGER",2891
"Borgu","NIGER",2891
"Bosso","NIGER",2891
"Chanchaga","NIGER",2891
"Edati","NIGER",2891
"Gbako","NIGER",2891
"Gurara","NIGER",2891
"Katcha","NIGER",2891
"Kontagora","NIGER",2891
"Lapai","NIGER",2891
"Lavun","NIGER",2891
"Magama","NIGER",2891
"Mariga","NIGER",2891
"Mashegu","NIGER",2891
"Mokwa","NIGER",2891
"Munya","NIGER",2891
"Paikoro","NIGER",2891
"Rafi","NIGER",2891
"Rijau","NIGER",2891
"Shiroro","NIGER",2891
"Suleja","NIGER",2891
"Tafa","NIGER",2891
"Wushishi","NIGER",2891
"Abeokuta North","OGUN",2869
"Abeokuta South","OGUN",2869
"Ado-Odo/Ota","OGUN",2869
"Yewa North","OGUN",2869
"Yewa South","OGUN",2869
"Ewekoro","OGUN",2869
"Idarapo","OGUN",2869
"Ifo","OGUN",2869
"Ijebu East","OGUN",2869
"Ijebu North","OGUN",2869
"Ijebu North-East","OGUN",2869
"Ijebu Ode","OGUN",2869
"Ikenne","OGUN",2869
"Alaro","OGUN",2869
"Imeko Afon","OGUN",2869
"Ipokia","OGUN",2869
"Obafemi-Owode","OGUN",2869
"Odeda","OGUN",2869
"Odogbolu","OGUN",2869
"Ogun Waterside","OGUN",2869
"Remo North","OGUN",2869
"Shagamu","OGUN",2869
"Akoko North-East","ONDO",2890
"Akoko North-West","ONDO",2890
"Akoko South-West","ONDO",2890
"Akoko South-East","ONDO",2890
"Ese Odo","ONDO",2890
"Idanre","ONDO",2890
"Ifedore","ONDO",2890
"Ilaje","ONDO",2890
